Shortname,AbsoluteIdxToSubfolders,State1Tracks,State2Tracks,Occupancy1,Occupancy2,Lifetime1,Lifetime2
Gi1 D2 No treat (2400 ng),105,597,316,0.700178220536489,0.29982177946351,51.3299832495812,41.5253164556962
Gi1 D2 No treat (2400 ng),106,241,108,0.718715576118088,0.281284423881912,54.1452282157676,47.287037037037
Gi1 D2 No treat (2400 ng),107,384,174,0.761085972850679,0.238914027149321,54.7526041666667,37.9310344827586
Gi1 D2 No treat (2400 ng),108,1047,535,0.62481626851448,0.37518373148552,36.9465138490926,43.4168224299065
Gi1 D2 No treat (2400 ng),109,642,200,0.797206122079334,0.202793877920667,54.8457943925234,44.785
Gi1 D2 Quinpirole (2400 ng),110,1176,573,0.669259815295028,0.330740184704972,37.5280612244898,38.0628272251309
Gi1 D2 Quinpirole (2400 ng),111,0,0,0,0,0,0
Gi1 D2 Quinpirole (2400 ng),112,0,0,0,0,0,0
Gi1 D2 Quinpirole (2400 ng),113,961,432,0.66110475969957,0.33889524030043,47.5369406867846,54.2083333333333
Myr Quinpirole,114,2026,353,0.845559439640445,0.154440560359555,31.7581441263574,33.2917847025496
Myr Quinpirole,115,399,53,0.825011336725954,0.174988663274046,41.0375939849624,65.5283018867924
Myr Quinpirole,116,203,48,0.779669897825517,0.220330102174483,43.9802955665025,52.5625
Myr Quinpirole,117,631,261,0.817446749526406,0.182553250473594,28.0380348652932,15.1379310344828
Myr Quinpirole,118,1242,194,0.836890392686339,0.163109607313661,41.4227053140097,51.6855670103093
Myr Quinpirole,119,381,88,0.821591041642366,0.178408958357634,36.9737532808399,34.7613636363636
Myr Quinpirole,120,603,89,0.90326145191535,0.0967385480846504,44.7346600331675,32.4606741573034
Myr Quinpirole,121,615,141,0.652647273954875,0.347352726045125,37.7219512195122,87.5673758865248
Myr Quinpirole,122,63,14,0.699662542182227,0.300337457817773,39.4920634920635,76.2857142857143
Myr Quinpirole,123,325,67,0.894503615019824,0.105496384980176,35.4030769230769,20.2537313432836
Myr No treat,124,0,0,0,0,0,0
Myr No treat,125,0,0,0,0,0,0
Myr No treat,126,0,0,0,0,0,0
Myr No treat,127,0,0,0,0,0,0
Myr No treat,128,0,0,0,0,0,0
Myr No treat,129,0,0,0,0,0,0
Myr No treat,130,0,0,0,0,0,0
Myr No treat,131,0,0,0,0,0,0
Myr No treat,132,0,0,0,0,0,0
Myr No treat,133,805,284,0.873712083475343,0.126287916524657,41.3987577639752,16.9612676056338
Myr No treat,134,85,7,0.819441290029525,0.180558709970475,42.4470588235294,113.571428571429
Myr No treat,135,147,34,0.870761056415065,0.129238943584935,37.9047619047619,24.3235294117647
Myr No treat,136,408,76,0.796497043540584,0.203502956459416,43.5808823529412,59.7763157894737
Myr No treat,137,883,219,0.747819209039548,0.252180790960452,37.475651189128,50.9543378995434
Myr No treat,138,1470,197,0.797886953284465,0.202113046715535,42.2809523809524,79.9187817258883
Myr No treat,139,192,29,0.823214285714286,0.176785714285714,45.6197916666667,64.8620689655172
Myr No treat,140,1795,252,0.866470942881858,0.133529057118142,36.8300835654596,40.4285714285714
Myr No treat,141,563,105,0.897950414643578,0.102049585356422,37.1190053285968,22.6190476190476
Empty,142,0,0,0,0,0,0
D2 Quinpirole,143,273,102,0.851329690346084,0.148670309653916,85.6007326007326,40.0098039215686
D2 Quinpirole,144,1210,801,0.975419676067148,0.0245803239328518,40.9619834710744,1.55930087390762
D2 No treat,145,142,38,0.823178422431357,0.176821577568643,119.5,95.9210526315789
D2 No treat,146,3063,2134,0.830192823784465,0.169807176215535,28.3796931113288,8.33177132146204
Gi1 D2 ins4A Quinpirole (100 ng),147,1504,766,0.624413471898787,0.375586528101213,35.8344414893617,42.3211488250653
Gi1 D2 ins4A Quinpirole (100 ng),148,593,299,0.658117770477321,0.341882229522679,40.2006745362563,41.4180602006689
Gi1 D2 ins4A Quinpirole (100 ng),149,1577,721,0.981940161406732,0.0180598385932682,37.9600507292327,1.52704576976422
Gi1 D2 ins4A Quinpirole (100 ng),150,352,483,0.201643527355287,0.798356472644713,28.5113636363636,82.2670807453416
Gi1 D2 ins4A Quinpirole (100 ng),151,1409,863,0.564689723256538,0.435310276743462,37.3484740951029,47.0069524913094
Gi1 D2 ins4A Quinpirole (100 ng),152,1542,753,0.634712031359936,0.365287968640064,32.7613488975357,38.6108897742364
Gi1 D2 ins4A Quinpirole (100 ng),153,951,610,0.584866726922355,0.415133273077645,36.0630914826498,39.9065573770492
Gi1 D2 ins4A Quinpirole (100 ng),154,577,386,0.598325825106233,0.401674174893767,32.4558058925477,32.5699481865285
Gi1 D2 ins4A Quinpirole (100 ng),155,544,379,0.571573241198546,0.428426758801454,35.2757352941176,37.9525065963061
